iter	Logloss
0	0.6930189866
1	0.6928837442
2	0.6927668906
3	0.6926165198
4	0.6924984924
5	0.6923797477
6	0.6922551343
7	0.6921198266
8	0.6919989953
9	0.6918576884
10	0.6917410304
11	0.6916228074
12	0.6915111053
13	0.6913737762
14	0.6912356646
15	0.6911115076
16	0.6909900241
17	0.6908397185
18	0.6907100188
19	0.6905861879
20	0.6904703776
21	0.690327571
22	0.6901839819
23	0.6900627593
24	0.6899379502
25	0.6898053161
26	0.6896706606
27	0.6895066612
28	0.6893662021
29	0.6892497397
30	0.6890962389
31	0.6889551929
32	0.6888267974
33	0.688690316
34	0.688558986
35	0.6884412847
36	0.6883166713
37	0.6881835155
38	0.6880611844
39	0.6879288111
40	0.6877921341
41	0.6876744979
42	0.6875521016
43	0.6874204456
44	0.6872931586
45	0.6871605245
46	0.6870295859
47	0.6869114281
48	0.686778794
49	0.6866629837
50	0.6865212204
51	0.6863795875
52	0.6862575824
53	0.6861454238
54	0.6860020955
55	0.6858676356
56	0.6857425657
57	0.6856274727
58	0.6854961428
59	0.6853636391
60	0.6852321136
61	0.6850878724
62	0.6849744748
63	0.6848625118
64	0.6847467667
65	0.6846227401
66	0.6844863892
67	0.6843577328
68	0.6842159043
69	0.6840991811
70	0.6839782845
71	0.6838353475
72	0.6837142553
73	0.6836049659
74	0.6834914379
75	0.6833758232
76	0.6832423414
77	0.6831160325
78	0.6829980051
79	0.6828730004
80	0.6827620808
81	0.6826315334
82	0.6824904222
83	0.6823746119
84	0.6822658441
85	0.6821375138
86	0.6820078793
87	0.6818862654
88	0.6817621736
89	0.6816367125
90	0.6815135988
91	0.6813913981
92	0.6812772832
93	0.6811441927
94	0.6810182751
95	0.6808977046
96	0.6807698959
97	0.6806319799
98	0.68050691
99	0.6803753845
100	0.6802229922
101	0.680092836
102	0.6799602019
103	0.6798434135
104	0.6797090188
105	0.6795809493
106	0.679439186
107	0.679291554
108	0.6791484213
109	0.6790279812
110	0.6788853702
111	0.6787638868
112	0.6786434467
113	0.6785193549
114	0.6783995017
115	0.678283887
116	0.6781755757
117	0.6780598958
118	0.6779314351
119	0.6778002356
120	0.6776876205
121	0.6775790484
122	0.677447588
123	0.6773196489
124	0.6772057297
125	0.6770569891
126	0.6769131391
127	0.6768075014
128	0.6766787146
129	0.6765505799
130	0.6764335958
131	0.6763344789
132	0.6762292324
133	0.6760935987
134	0.6759712024
135	0.6758559789
136	0.6757344955
137	0.6756122296
138	0.6755042443
139	0.6754288633
140	0.6752890562
141	0.6751639863
142	0.6750239185
143	0.6749053694
144	0.6747954931
145	0.6746710101
146	0.6745570908
147	0.674426413
148	0.6743110592
149	0.6741825984
150	0.6740627452
151	0.6739237207
152	0.6737852178
153	0.6736730592
154	0.6735553578
155	0.6734182244
156	0.6732891115
157	0.6731775398
158	0.6730662289
159	0.6729472886
160	0.6728400858
161	0.6727194501
162	0.6725806864
163	0.6724578988
164	0.6723382412
165	0.6722187792
166	0.6720843193
167	0.6719600971
168	0.6718450041
169	0.6717346061
170	0.6716054281
171	0.6714952257
172	0.6713706775
173	0.6712939923
174	0.6711633144
175	0.6710495908
