iter	Passed	Remaining
0	143	142907
1	144	72041
2	147	48929
3	149	37238
4	151	30219
5	152	25333
6	246	34975
7	250	31058
8	274	30176
9	276	27363
10	289	25986
11	313	25777
12	319	24284
13	322	22701
14	325	21397
15	338	20789
16	339	19604
17	341	18607
18	343	17725
19	347	17010
20	371	17300
21	371	16534
22	372	15833
23	376	15308
24	378	14779
25	381	14287
26	385	13878
27	386	13419
28	393	13163
29	405	13117
30	407	12724
31	410	12422
32	412	12100
33	414	11773
34	426	11764
35	438	11750
36	442	11518
37	449	11382
38	450	11107
39	453	10873
40	454	10630
41	500	11420
42	507	11291
43	520	11304
44	532	11304
45	534	11078
46	537	10906
47	539	10696
48	546	10605
49	570	10843
50	573	10662
51	574	10467
52	598	10692
53	599	10509
54	602	10347
55	616	10389
56	617	10215
57	621	10090
58	623	9945
59	624	9781
60	625	9621
61	627	9490
62	633	9425
63	681	9974
64	685	9864
65	692	9798
66	699	9734
67	701	9611
68	702	9473
69	704	9357
70	706	9245
71	710	9157
72	714	9069
73	720	9020
74	733	9045
75	735	8944
76	736	8831
77	760	8990
78	812	9468
79	814	9367
80	828	9395
81	829	9286
82	830	9179
83	831	9071
84	836	9000
85	836	8895
86	839	8809
87	853	8840
88	857	8774
89	871	8809
90	878	8778
91	881	8696
92	986	9622
93	988	9529
94	995	9478
95	1000	9423
96	1031	9601
97	1033	9514
98	1034	9415
99	1035	9319
100	1036	9229
101	1037	9134
102	1041	9070
103	1065	9180
104	1072	9138
105	1074	9065
106	1076	8981
107	1079	8918
108	1086	8880
109	1135	9186
110	1136	9106
111	1140	9045
112	1143	8973
113	1166	9067
114	1213	9339
115	1226	9344
116	1238	9345
117	1241	9282
118	1254	9286
119	1257	9218
120	1269	9223
121	1273	9168
122	1275	9091
123	1277	9024
124	1284	8988
125	1285	8915
126	1287	8846
127	1311	8933
128	1312	8864
129	1316	8811
130	1340	8894
131	1347	8860
132	1393	9085
133	1400	9050
134	1402	8987
135	1406	8936
136	1408	8870
137	1409	8802
138	1501	9299
139	1502	9227
140	1502	9155
141	1527	9227
142	1528	9157
143	1531	9105
144	1624	9580
145	1722	10075
146	1724	10008
147	1737	10004
148	1744	9964
149	1751	9923
150	1752	9851
151	1752	9779
152	1753	9708
153	1760	9670
154	1764	9617
155	1770	9580
156	1775	9530
157	1775	9463
158	1778	9405
159	1784	9370
160	1809	9430
161	1810	9365
162	1814	9316
163	1818	9268
164	1844	9332
165	1857	9331
166	1858	9270
167	1865	9237
168	1872	9206
169	1873	9148
170	1875	9091
171	1879	9045
172	1885	9014
173	1886	8955
174	1893	8927
175	1943	9097
176	1946	9052
177	1949	9001
178	1951	8951
179	1958	8924
180	1962	8881
181	1965	8832
182	1986	8867
183	1987	8813
184	1997	8799
185	2000	8753
186	2003	8708
187	2011	8686
188	2024	8685
189	2030	8657
190	2033	8611
191	2037	8572
192	2040	8533
193	2044	8494
194	2046	8449
195	2048	8401
196	2050	8357
197	2054	8321
198	2066	8318
199	2160	8643
200	2162	8596
201	2163	8546
202	2165	8502
203	2189	8544
204	2191	8498
205	2193	8455
206	2194	8408
207	2196	8362
208	2197	8317
209	2221	8357
210	2233	8352
211	2246	8349
212	2293	8473
213	2297	8437
214	2299	8395
215	2324	8436
216	2337	8435
217	2339	8392
218	2340	8346
219	2353	8343
220	2357	8308
221	2363	8283
222	2367	8249
223	2374	8225
224	2376	8186
225	2383	8162
226	2387	8129
227	2479	8394
228	2486	8370
229	2492	8345
230	2496	8311
231	2497	8267
232	2499	8228
233	2502	8191
234	2503	8149
235	2515	8144
236	2516	8102
237	2528	8096
238	2535	8073
239	2539	8041
240	2541	8004
241	2565	8035
242	2572	8014
243	2584	8008
244	2587	7972
245	2589	7936
246	2590	7895
247	2596	7873
248	2643	7972
249	2645	7936
250	2658	7931
251	2670	7928
252	2673	7893
253	2674	7855
254	2677	7821
255	2678	7782
256	2679	7746
257	2680	7709
258	2693	7706
259	2697	7678
260	2723	7710
261	2727	7681
262	2752	7712
263	2765	7709
264	2767	7676
265	2769	7640
266	2770	7604
267	2771	7568
268	2795	7597
269	2798	7565
270	2799	7531
271	2801	7499
272	2802	7464
273	2827	7492
274	2829	7459
275	2830	7425
276	2832	7393
277	2835	7362
278	2837	7332
279	2841	7306
280	2842	7272
281	2845	7245
282	2849	7220
283	2854	7195
284	2860	7177
285	2864	7152
286	2871	7134
287	2875	7109
288	2879	7084
289	2886	7068
290	2888	7037
291	3001	7276
292	3093	7465
293	3117	7487
294	3119	7454
295	3126	7435
296	3138	7429
297	3185	7504
298	3198	7497
299	3201	7470
300	3293	7648
301	3295	7615
302	3295	7581
303	3296	7547
304	3300	7521
305	3301	7487
306	3305	7460
307	3317	7453
308	3321	7427
309	3325	7401
310	3326	7369
311	3330	7344
312	3334	7318
313	3338	7292
314	3340	7263
315	3341	7232
316	3348	7214
317	3361	7208
318	3362	7178
319	3369	7159
320	3376	7141
321	3389	7136
322	3390	7106
323	3403	7100
324	3404	7070
325	3416	7064
